OAG ANALYSER,,,,,,,,,,,,,
VERSION: 2.0.1.  Data load date: 06 Apr 2025,,,,,,,,,,,,,
,,,,,,,,,,,,,
SEARCH ATTRIBUTES/PARAMETERS:,,,,,,,,,,,,,
Report Type: Schedules Capacity Report,,,,,,,,,,,,,
"Dimensions: [Published Carrier, Flight Number, Origin, Destination, Departure Time, Arrival Time, Op Days, Elapsed Time, Distance (KM), Stops, Equipment]",,,,,,,,,,,,,
"Metrics: [Frequency, Seats]",,,,,,,,,,,,,
"Type of Operation: Published carrier, Operating Flights",,,,,,,,,,,,,
Carrier Category: All,,,,,,,,,,,,,
Include alliance affiliates: false,,,,,,,,,,,,,
To/From: Airport(s) Included[PEK],,,,,,,,,,,,,
Flight Type: All,,,,,,,,,,,,,
"Service type: C,G,J,Q,S",,,,,,,,,,,,,
Include Surface: false,,,,,,,,,,,,,
Non-stop: true,,,,,,,,,,,,,
"Equipment Group: A,H,J,JN,JW,P,RJ,T,",,,,,,,,,,,,,
Period: Date 04Apr2025 to 04Apr2025,,,,,,,,,,,,,
TimeSeries: true,,,,,,,,,,,,,
,,,,,,,,,,,,,
MONTHLY DATED AT 4 2025,,,,,,,,,,,,,
REPORT DATED AT: Apr 8-2025. TIME: 12:13 (BST),,,,,,,,,,,,,
,,,,,,,,,,,,,
Published Carrier,Flight Number,Origin,Destination,Departure Time,Arrival Time,Op Days,Elapsed Time,Distance (KM),Stops,Equipment,Frequency,Seats,Time series
CA,8214,PEK,WUH,2000,2200,1  4567,02:00,1053,0,320,1,158,2025-04-04
CA,1552,TXN,PEK,2110,2315,123 567,02:05,1159,0,738,1,167,2025-04-04
CA,1348,SWA,PEK,1445,1800,34567,03:15,1849,0,321,1,194,2025-04-04
OZ,333,ICN,PEK,1250,1400,1   5,02:10,901,0,77L,1,300,2025-04-04
CA,1301,PEK,CAN,1455,1820,5,03:25,1880,0,789,1,293,2025-04-04
CA,1139,PEK,YCU,1705,1850,5,01:45,735,0,320,1,158,2025-04-04
CA,1362,HAK,PEK,1315,1700,5,03:45,2313,0,738,1,162,2025-04-04
CA,984,LAX,PEK,2325,0530,1  45,15:05,10034,0,77W,1,392,2025-04-04
CA,1360,CAN,PEK,1140,1500,5,03:20,1880,0,32Q,1,194,2025-04-04
HU,7182,PEK,HAK,1300,1640,2 45 7,03:40,2313,0,333,1,302,2025-04-04
HU,7281,HAK,PEK,1300,1640,345,03:40,2313,0,333,1,291,2025-04-04
CA,966,FRA,PEK,1415,0540,1234567,09:25,7786,0,773,1,311,2025-04-04
3U,8884,PEK,CTU,1140,1430,12345 7,02:50,1555,0,359,1,335,2025-04-04
CA,1488,DZH,PEK,1600,1815,12 4567,02:15,1299,0,320,1,158,2025-04-04
MU,5155,PVG,PEK,1030,1300,1234567,02:30,1098,0,320,1,156,2025-04-04
CA,1900,NTG,PEK,1045,1255,12  56,02:10,972,0,321,1,177,2025-04-04
CA,1403,PEK,KMG,0640,1025,1 345 7,03:45,2092,0,7M8,1,176,2025-04-04
HU,7815,PEK,CAN,2030,2355,12  56,03:25,1880,0,738,1,157,2025-04-04
CA,1543,WNZ,PEK,1715,2000,1234567,02:45,1407,0,321,1,177,2025-04-04
TV,9816,PEK,LXA,1455,1910,1234567,04:15,2622,0,319,1,103,2025-04-04
CA,1904,ZUH,PEK,2105,0030,123 5 7,03:25,2029,0,738,1,167,2025-04-04
CA,4143,CKG,PEK,1455,1730,1 345 7,02:35,1461,0,738,1,159,2025-04-04
HU,473,PEK,KIX,0845,1245,1234567,03:00,1761,0,738,1,174,2025-04-04
CA,1903,PEK,ZUH,1645,2010,1234567,03:25,2029,0,738,1,167,2025-04-04
CA,4166,PEK,KWE,2105,0030,1234567,03:25,1754,0,320,1,158,2025-04-04
CA,1643,PEK,HRB,0755,1020,3 5 7,02:25,998,0,738,1,159,2025-04-04
KE,2255,CJU,PEK,1535,1720,1234567,02:45,1143,0,32Q,1,182,2025-04-04
BR,715,PEK,TPE,2045,2355,1   5,03:10,1720,0,333,1,309,2025-04-04
CA,1507,PEK,SHA,0730,1000,12  5,02:30,1075,0,359,1,312,2025-04-04
HU,7289,PEK,KWE,0830,1150,12 4567,03:20,1754,0,738,1,169,2025-04-04
HU,7193,PEK,HUO,2015,2200,5 7,01:45,663,0,738,1,169,2025-04-04
MU,5106,PEK,SHA,1000,1215,1234567,02:15,1075,0,333,1,298,2025-04-04
HU,7248,TFU,PEK,1230,1515,12 45,02:45,1545,0,333,1,302,2025-04-04
KE,2256,PEK,CJU,1050,1425,1234567,02:35,1143,0,32Q,1,182,2025-04-04
CA,980,BKK,PEK,0130,0710,1234567,04:40,3314,0,7M8,1,176,2025-04-04
CA,949,PEK,MXP,0130,0630,1234567,11:00,8090,0,359,1,312,2025-04-04
SC,7605,YNT,PEK,1245,1400,1234567,01:15,465,0,738,1,175,2025-04-04
HU,7106,DLC,PEK,2225,2355,1234567,01:30,441,0,738,1,169,2025-04-04
CA,851,PEK,LGW,0230,0635,1234567,11:05,8163,0,359,1,312,2025-04-04
CA,1351,PEK,CAN,0800,1120,1   5,03:20,1880,0,789,1,293,2025-04-04
SC,1159,PEK,ZUH,1530,1850,1   5 7,03:20,2029,0,738,1,175,2025-04-04
HU,7079,PEK,SYX,0830,1240,1234567,04:10,2514,0,738,1,169,2025-04-04
CA,1490,DZH,PEK,1220,1435,1234567,02:15,1299,0,738,1,159,2025-04-04
CA,981,PEK,JFK,1935,2305,1 3 567,15:30,10974,0,747,1,365,2025-04-04
CA,180,MNL,PEK,0625,1115,123 56,04:50,2873,0,7M8,1,176,2025-04-04
CA,1582,KHN,PEK,0800,1020,1   5,02:20,1247,0,738,1,176,2025-04-04
CA,1461,PEK,KWE,0715,1030,2  5,03:15,1754,0,321,1,177,2025-04-04
CA,8904,PEK,DLC,1125,1300,1 3 5 7,01:35,441,0,738,1,167,2025-04-04
HU,7181,HAK,PEK,0800,1145,1   5,03:45,2313,0,333,1,291,2025-04-04
OZ,334,PEK,ICN,1530,1830,1   5,02:00,901,0,77L,1,300,2025-04-04
CA,1868,FUG,PEK,1455,1640,12345 7,01:45,803,0,320,1,158,2025-04-04
HU,7245,PEK,URC,1415,1830,5,04:15,2428,0,738,1,169,2025-04-04
CA,1521,PEK,SHA,1430,1655,5,02:25,1075,0,789,1,293,2025-04-04
CX,344,HKG,PEK,1900,2225,1 34567,03:25,1989,0,32Q,1,202,2025-04-04
