OAG ANALYSER,,,,,,,,,,,,,
VERSION: 2.0.1.  Data load date: 06 Apr 2025,,,,,,,,,,,,,
,,,,,,,,,,,,,
SEARCH ATTRIBUTES/PARAMETERS:,,,,,,,,,,,,,
Report Type: Schedules Capacity Report,,,,,,,,,,,,,
"Dimensions: [Published Carrier, Flight Number, Origin, Destination, Departure Time, Arrival Time, Op Days, Elapsed Time, Distance (KM), Stops, Equipment]",,,,,,,,,,,,,
"Metrics: [Frequency, Seats]",,,,,,,,,,,,,
"Type of Operation: Published carrier, Operating Flights",,,,,,,,,,,,,
Carrier Category: All,,,,,,,,,,,,,
Include alliance affiliates: false,,,,,,,,,,,,,
To/From: Airport(s) Included[SJW],,,,,,,,,,,,,
Flight Type: All,,,,,,,,,,,,,
"Service type: C,G,J,Q,S",,,,,,,,,,,,,
Include Surface: false,,,,,,,,,,,,,
Non-stop: true,,,,,,,,,,,,,
"Equipment Group: A,H,J,JN,JW,P,RJ,T,",,,,,,,,,,,,,
Period: Date 04Apr2025 to 04Apr2025,,,,,,,,,,,,,
TimeSeries: true,,,,,,,,,,,,,
,,,,,,,,,,,,,
MONTHLY DATED AT 4 2025,,,,,,,,,,,,,
REPORT DATED AT: Apr 8-2025. TIME: 12:14 (BST),,,,,,,,,,,,,
,,,,,,,,,,,,,
Published Carrier,Flight Number,Origin,Destination,Departure Time,Arrival Time,Op Days,Elapsed Time,Distance (KM),Stops,Equipment,Frequency,Seats,Time series
CZ,6953,DLC,SJW,1630,1805,2 45,01:35,599,0,320,1,151,2025-04-04
9C,6788,LHW,SJW,0800,0950,5,01:50,995,0,320,1,180,2025-04-04
NS,3507,SJW,KRL,0725,1155,1   5,04:30,2449,0,738,1,168,2025-04-04
NS,3211,HGH,SJW,0920,1125,1 3 5 7,02:05,1038,0,738,1,183,2025-04-04
NS,3270,KMG,SJW,2030,2330,1234567,03:00,1833,0,738,1,183,2025-04-04
NS,3292,SJW,XMN,1455,1735,1234567,02:40,1559,0,738,1,183,2025-04-04
NS,3287,SJW,HAK,0830,1215,1234567,03:45,2078,0,738,1,169,2025-04-04
9C,8761,SJW,HRB,1145,1400,5,02:15,1255,0,320,1,186,2025-04-04
9C,6952,KMG,SJW,1920,2220,5,03:00,1833,0,320,1,180,2025-04-04
9C,7082,KWE,SJW,2005,2245,1 3 5,02:40,1497,0,320,1,186,2025-04-04
CZ,6953,SJW,URC,1855,2310,2 45,04:15,2351,0,320,1,151,2025-04-04
KN,2355,SJW,PVG,0800,1015,1234567,02:15,1024,0,737,1,185,2025-04-04
KN,5770,SJW,HYN,0730,1005,1234567,02:35,1246,0,737,1,185,2025-04-04
7C,8801,ICN,SJW,1000,1120,1   5,02:20,1035,0,738,1,174,2025-04-04
G5,4943,SJW,CIF,0950,1105,1 3 5 7,01:15,557,0,32A,1,179,2025-04-04
JD,5347,CAN,SJW,1305,1545,12 4567,02:40,1659,0,321,1,210,2025-04-04
NS,3220,SHA,SJW,1105,1305,1 3 567,02:00,993,0,738,1,169,2025-04-04
NS,3268,SZX,SJW,1155,1455,123456,03:00,1738,0,738,1,183,2025-04-04
NS,3336,HET,SJW,1705,1820,3 5 7,01:15,377,0,738,1,183,2025-04-04
NS,3661,SJW,TFU,0800,1045,1 3 5 7,02:45,1289,0,738,1,183,2025-04-04
NS,3219,SJW,SHA,0800,1000,1 3 567,02:00,993,0,738,1,169,2025-04-04
CA,2707,TFU,SJW,1700,1925,1234567,02:25,1289,0,C27,1,90,2025-04-04
ZH,9138,SJW,SZX,1115,1430,1234567,03:15,1738,0,738,1,161,2025-04-04
JD,5892,SJW,HAK,1845,2210,5 7,03:25,2078,0,320,1,175,2025-04-04
JD,5348,CGQ,SJW,1925,2125,12 4567,02:00,1117,0,321,1,210,2025-04-04
NS,3333,SJW,NTG,1400,1550,3 5 7,01:50,893,0,738,1,169,2025-04-04
NS,3212,SJW,HGH,1610,1820,1 3 5 7,02:10,1038,0,738,1,183,2025-04-04
8L,9556,HRB,SJW,1525,1745,1   5,02:20,1255,0,737,1,188,2025-04-04
9C,8900,SJW,CAN,2050,0005,5,03:15,1659,0,320,1,186,2025-04-04
9C,7278,HLD,SJW,1300,1530,1 3 5 7,02:30,1281,0,320,1,186,2025-04-04
9C,6540,TGO,SJW,1920,2050,1   567,01:30,861,0,320,1,186,2025-04-04
9C,6539,SJW,TGO,1645,1835,1   567,01:50,861,0,320,1,186,2025-04-04
9C,7006,URC,SJW,1530,1915,1 3 5,03:45,2351,0,320,1,186,2025-04-04
9C,7005,NGB,SJW,0720,0925,1 3 5,02:05,1125,0,320,1,186,2025-04-04
KN,2330,XMN,SJW,1905,2155,1234567,02:50,1559,0,737,1,185,2025-04-04
KN,2337,SJW,YIW,0825,1045,1234567,02:20,1107,0,737,1,185,2025-04-04
MU,9030,SJW,PVG,1955,2220,1234567,02:25,1024,0,C27,1,88,2025-04-04
PN,6318,SJW,CKG,2305,0135,12 4567,02:30,1204,0,320,1,179,2025-04-04
9C,8674,HRB,SJW,2005,2230,1   5 7,02:25,1255,0,320,1,186,2025-04-04
9C,8627,SJW,KWL,1125,1405,5,02:40,1514,0,320,1,186,2025-04-04
9C,6255,SHA,SJW,2100,2305,1 3 5 7,02:05,993,0,320,1,186,2025-04-04
9C,8975,SJW,XMN,0705,0950,56,02:45,1559,0,320,1,186,2025-04-04
KN,5025,SJW,BAV,1130,1305,1234567,01:35,476,0,737,1,185,2025-04-04
KY,3174,SJW,KMG,2100,0015,1 3 5 7,03:15,1833,0,738,1,173,2025-04-04
MU,9036,SJW,HIA,1250,1420,1 3 5 7,01:30,637,0,C27,1,88,2025-04-04
7C,8802,SJW,ICN,1215,1525,1   5,02:10,1035,0,738,1,174,2025-04-04
EU,1893,HLH,SJW,1640,1900,1 3 5 7,02:20,1064,0,320,1,89,2025-04-04
G5,4944,CIF,SJW,1150,1320,1 3 5 7,01:30,557,0,32A,1,179,2025-04-04
HU,7543,SJW,LYG,1145,1315,1 3 5 7,01:30,586,0,738,1,169,2025-04-04
JD,5348,SJW,CAN,2215,0055,12 4567,02:40,1659,0,321,1,210,2025-04-04
JD,5280,SJW,HGH,2305,0105,1234567,02:00,1038,0,321,1,218,2025-04-04
NS,3223,SJW,KWE,0755,1055,1 3 5 7,03:00,1497,0,738,1,169,2025-04-04
NS,3212,ZQZ,SJW,1410,1510,1 3 5 7,01:00,274,0,738,1,183,2025-04-04
