OAG ANALYSER,,,,,,,,,,,,,
VERSION: 2.0.1.  Data load date: 06 Apr 2025,,,,,,,,,,,,,
,,,,,,,,,,,,,
SEARCH ATTRIBUTES/PARAMETERS:,,,,,,,,,,,,,
Report Type: Schedules Capacity Report,,,,,,,,,,,,,
"Dimensions: [Published Carrier, Flight Number, Origin, Destination, Departure Time, Arrival Time, Op Days, Elapsed Time, Distance (KM), Stops, Equipment]",,,,,,,,,,,,,
"Metrics: [Frequency, Seats]",,,,,,,,,,,,,
"Type of Operation: Published carrier, Operating Flights",,,,,,,,,,,,,
Carrier Category: All,,,,,,,,,,,,,
Include alliance affiliates: false,,,,,,,,,,,,,
To/From: Airport(s) Included[TSN],,,,,,,,,,,,,
Flight Type: All,,,,,,,,,,,,,
"Service type: C,G,J,Q,S",,,,,,,,,,,,,
Include Surface: false,,,,,,,,,,,,,
Non-stop: true,,,,,,,,,,,,,
"Equipment Group: A,H,J,JN,JW,P,RJ,T,",,,,,,,,,,,,,
Period: Date 04Apr2025 to 04Apr2025,,,,,,,,,,,,,
TimeSeries: true,,,,,,,,,,,,,
,,,,,,,,,,,,,
MONTHLY DATED AT 4 2025,,,,,,,,,,,,,
REPORT DATED AT: Apr 8-2025. TIME: 12:14 (BST),,,,,,,,,,,,,
,,,,,,,,,,,,,
Published Carrier,Flight Number,Origin,Destination,Departure Time,Arrival Time,Op Days,Elapsed Time,Distance (KM),Stops,Equipment,Frequency,Seats,Time series
CZ,3693,CSX,TSN,1345,1615,2  5,02:30,1273,0,320,1,159,2025-04-04
MU,2483,WUH,TSN,0755,0955,1   567,02:00,969,0,73E,1,168,2025-04-04
GS,6697,HLD,TSN,0735,0950,5,02:15,1138,0,320,1,179,2025-04-04
GS,7834,HET,TSN,2020,2150,5,01:30,507,0,E90,1,97,2025-04-04
KN,2972,WNZ,TSN,1900,2135,234567,02:35,1287,0,737,1,179,2025-04-04
BK,3206,TFU,TSN,1610,1830,2  5,02:20,1529,0,739,1,199,2025-04-04
BK,3201,TSN,TFU,0805,1100,2345,02:55,1529,0,73E,1,188,2025-04-04
GS,6697,TSN,CAN,1055,1415,1 3 5,03:20,1790,0,320,1,179,2025-04-04
GS,7797,TSN,XIL,1900,2030,1   5 7,01:30,542,0,E90,1,105,2025-04-04
GS,6560,TSN,SWA,1315,1600,123456,02:45,1745,0,320,1,173,2025-04-04
KE,805,ICN,TSN,0910,1010,2345 7,02:00,814,0,333,1,276,2025-04-04
3U,8861,CTU,TSN,0640,0910,1  45 7,02:30,1545,0,320,1,163,2025-04-04
CA,2896,INC,TSN,1000,1155,5,01:55,983,0,73G,1,128,2025-04-04
CA,2889,TSN,ZUH,1455,1835,12  567,03:40,1939,0,738,1,176,2025-04-04
CA,2811,TSN,SZX,1430,1755,12345 7,03:25,1862,0,738,1,159,2025-04-04
HU,7660,NGB,TSN,1310,1530,1234567,02:20,1099,0,738,1,169,2025-04-04
MF,8922,WUH,TSN,1650,1900,1 345 7,02:10,969,0,738,1,169,2025-04-04
ZH,8747,NTG,TSN,0950,1150,1234567,02:00,848,0,320,1,158,2025-04-04
HU,7797,CSX,TSN,1230,1455,1234567,02:25,1273,0,738,1,169,2025-04-04
3U,3610,TSN,KHN,1700,1855,1234567,01:55,1147,0,32B,1,197,2025-04-04
CA,2812,SZX,TSN,1925,2250,12345 7,03:25,1862,0,738,1,159,2025-04-04
CA,2804,CAN,TSN,1920,2235,1234567,03:15,1790,0,738,1,159,2025-04-04
G5,4642,DBC,TSN,1815,2005,1 3 5 7,01:50,848,0,CR9,1,88,2025-04-04
MF,8621,CKG,TSN,1930,2155,1234567,02:25,1431,0,738,1,169,2025-04-04
MF,8240,XIY,TSN,1505,1715,12  567,02:10,924,0,738,1,169,2025-04-04
MF,8380,SZX,TSN,1205,1520,123 567,03:15,1862,0,738,1,183,2025-04-04
ZH,9125,SZX,TSN,1435,1755,1234567,03:20,1862,0,319,1,128,2025-04-04
BK,3100,INC,TSN,2245,0040,234567,01:55,983,0,73E,1,187,2025-04-04
BK,2703,TSN,HRB,1055,1325,1234567,02:30,1027,0,739,1,199,2025-04-04
GS,7833,TSN,HET,1405,1530,5,01:25,507,0,E90,1,97,2025-04-04
GS,7457,TSN,DLC,1700,1800,1 3 5 7,01:00,362,0,E95,1,121,2025-04-04
PN,6221,KOW,TSN,1645,1915,1234567,02:30,1493,0,320,1,179,2025-04-04
GS,7928,HYN,TSN,1025,1315,5,02:50,1233,0,E90,1,97,2025-04-04
GS,6585,TSN,YNJ,1200,1400,2  5,02:00,1096,0,320,1,185,2025-04-04
GS,7808,HCZ,TSN,1125,1400,1   5 7,02:35,1543,0,320,1,157,2025-04-04
GS,7817,TSN,FUG,0720,0910,3 5,01:50,708,0,320,1,178,2025-04-04
CA,8191,TSN,DSN,1000,1155,123 5 7,01:55,644,0,C27,1,90,2025-04-04
EU,2250,HLD,TSN,1515,1745,12  567,02:30,1138,0,320,1,179,2025-04-04
G5,4641,TSN,DBC,1555,1735,1 3 5 7,01:40,848,0,CR9,1,88,2025-04-04
ZH,9126,TSN,SZX,1900,2215,1234567,03:15,1862,0,319,1,128,2025-04-04
JL,841,NGO,TSN,1035,1250,1   5,03:15,1788,0,73H,1,144,2025-04-04
CA,172,ICN,TSN,1245,1345,2 45 7,02:00,814,0,738,1,159,2025-04-04
CA,2803,TSN,CAN,1455,1815,1234567,03:20,1790,0,738,1,159,2025-04-04
JD,5901,HGH,TSN,0840,1055,1   567,02:15,1028,0,32Q,1,179,2025-04-04
MF,8145,XMN,TSN,2140,0030,123 567,02:50,1622,0,738,1,183,2025-04-04
MF,8184,YCU,TSN,2035,2225,1   5 7,01:50,715,0,738,1,169,2025-04-04
3U,3609,KHN,TSN,1350,1600,1 3 5 7,02:10,1147,0,32B,1,197,2025-04-04
CA,2961,TSN,CTU,0830,1140,5,03:10,1545,0,73G,1,128,2025-04-04
CA,2861,TSN,CKG,0750,1040,5 7,02:50,1431,0,738,1,176,2025-04-04
FU,6581,TSN,KWE,1300,1605,1 3 5 7,03:05,1706,0,737,1,188,2025-04-04
G5,4317,LFQ,TSN,0945,1055,1 3 5 7,01:10,618,0,CR9,1,88,2025-04-04
HU,7690,KWL,TSN,1500,1800,23 56,03:00,1688,0,738,1,169,2025-04-04
HU,7660,TSN,DLC,1630,1745,1 3 5 7,01:15,362,0,738,1,169,2025-04-04
